Date,Ticker,Price
2021-04-30,BEL,41.114707946777344
2021-05-03,BEL,40.6466064453125
2021-05-04,BEL,41.44237518310547
2021-05-05,BEL,43.01830673217773
2021-05-06,BEL,44.43821716308594
2021-05-07,BEL,43.0339241027832
2021-05-10,BEL,45.17155838012695
2021-05-11,BEL,46.3574104309082
2021-05-12,BEL,45.82690048217773
2021-05-14,BEL,44.734676361083984
2021-05-17,BEL,46.23258972167969
2021-05-18,BEL,48.24541091918945
2021-05-19,BEL,48.41706085205078
2021-05-20,BEL,48.93196487426758
2021-05-21,BEL,49.18161392211914
2021-05-24,BEL,48.947566986083984
2021-05-25,BEL,46.56026077270508
2021-05-26,BEL,46.73189163208008
2021-05-27,BEL,46.3574104309082
2021-05-28,BEL,45.2027587890625
2021-05-31,BEL,45.37440872192383
2021-06-01,BEL,45.85811233520508
2021-06-02,BEL,46.91913604736328
2021-06-03,BEL,47.18439102172852
2021-06-04,BEL,47.6837043762207
2021-06-07,BEL,47.83972930908203
2021-06-08,BEL,47.730506896972656
2021-06-09,BEL,47.02835464477539
2021-06-10,BEL,47.44964599609375
2021-06-11,BEL,48.07377624511719
2021-06-14,BEL,47.35601806640625
2021-06-15,BEL,47.02835464477539
2021-06-16,BEL,46.71629333496094
2021-06-17,BEL,45.60846328735352
2021-06-18,BEL,45.624061584472656
2021-06-21,BEL,46.56026077270508
2021-06-22,BEL,47.24680709838867
2021-06-23,BEL,52.583133697509766
2021-06-24,BEL,53.41011047363281
2021-06-25,BEL,54.61155700683594
2021-06-28,BEL,54.22147750854492
2021-06-29,BEL,54.50234603881836
2021-06-30,BEL,55.54776382446289
2021-07-01,BEL,57.62300109863281
2021-07-02,BEL,56.374732971191406
2021-07-05,BEL,55.922245025634766
2021-07-06,BEL,56.49956130981445
2021-07-07,BEL,57.07688522338867
2021-07-08,BEL,56.374732971191406
2021-07-09,BEL,56.43715286254883
2021-07-12,BEL,57.37335205078125
2021-07-13,BEL,56.68680953979492
2021-07-14,BEL,57.46696090698242
2021-07-15,BEL,56.15628433227539
2021-07-16,BEL,56.06266784667969
2021-07-19,BEL,58.04429244995117
2021-07-20,BEL,56.54637908935547
2021-07-22,BEL,57.5761947631836
2021-07-23,BEL,56.99886322021485
2021-07-26,BEL,57.607398986816406
2021-07-27,BEL,57.12369918823242
2021-07-28,BEL,59.276954650878906
2021-07-29,BEL,58.91807556152344
2021-07-30,BEL,57.62300109863281
2021-08-02,BEL,57.35774612426758
2021-08-03,BEL,56.8740463256836
2021-08-04,BEL,54.75199508666992
2021-08-05,BEL,55.11086654663086
2021-08-06,BEL,54.73638916015625
2021-08-09,BEL,53.41011047363281
2021-08-10,BEL,52.81718063354492
2021-08-11,BEL,53.75339126586914
2021-08-12,BEL,54.25268173217773
2021-08-13,BEL,54.455528259277344
2021-08-16,BEL,54.408721923828125
2021-08-17,BEL,54.93923568725586
2021-08-18,BEL,54.33070755004883
2021-08-20,BEL,53.378902435302734
2021-08-23,BEL,54.65837097167969
2021-08-24,BEL,55.43853759765625
2021-08-25,BEL,56.15628433227539
2021-08-26,BEL,56.57758331298828
2021-08-27,BEL,57.82584762573242
2021-08-30,BEL,57.43575668334961
2021-08-31,BEL,58.24713516235352
2021-09-01,BEL,59.245750427246094
2021-09-02,BEL,59.33935928344727
2021-09-03,BEL,61.97631072998047
2021-09-06,BEL,60.99331665039063
2021-09-07,BEL,60.63443756103516
2021-09-08,BEL,61.50822830200195
2021-09-09,BEL,61.492618560791016
2021-09-13,BEL,61.32099151611328
2021-09-14,BEL,63.55026626586914
2021-09-15,BEL,65.24578857421875
2021-09-16,BEL,64.53931427001953
2021-09-17,BEL,64.4608154296875
2021-09-20,BEL,63.29906845092773
2021-09-21,BEL,64.19393157958984
2021-09-22,BEL,64.66492462158203
2021-09-23,BEL,65.13587951660156
2021-09-24,BEL,64.52361297607422
2021-09-27,BEL,64.0526351928711
2021-09-28,BEL,66.04644012451172
2021-09-29,BEL,64.41372680664062
2021-09-30,BEL,63.72295379638672
2021-10-01,BEL,63.34617614746094
2021-10-04,BEL,64.61781311035156
2021-10-05,BEL,64.63351440429688
2021-10-06,BEL,62.5769157409668
2021-10-07,BEL,63.77005386352539
