Date,BDL.NS,BEL.NS,BEML.NS,COCHINSHIP.NS,HAL.NS,MAZDOCK.NS,^NSEI
2024-02-27,931.7077026367188,201.61500549316406,1664.3984375,843.0639038085938,3029.341796875,1029.6356201171875,22198.349609375
2024-02-28,901.8030395507812,201.90953063964844,1597.728759765625,843.2120361328125,3019.26171875,1040.140869140625,21951.150390625
2024-02-29,892.7477416992188,201.3695526123047,1539.7442626953125,863.8432006835938,3018.136474609375,1025.8714599609375,21982.80078125
2024-03-01,908.3662719726562,201.86045837402344,1563.9005126953125,862.5599365234375,3086.885009765625,1032.9078369140625,22338.75
2024-03-04,905.2573852539062,205.78768920898438,1586.92138671875,869.96337890625,3146.23876953125,1035.5894775390625,22405.599609375
2024-03-05,885.2716064453125,206.91677856445312,1598.0740966796875,864.978271484375,3167.817626953125,1027.8643798828125,22356.30078125
2024-03-06,881.249755859375,206.62222290039062,1580.1854248046875,843.8536376953125,3159.20556640625,1012.4631958007812,22474.05078125
2024-03-07,887.8869018554688,211.28582763671875,1587.489013671875,856.0447998046875,3246.401611328125,1026.24072265625,22493.55078125
2024-03-11,872.7619018554688,208.68405151367188,1577.298583984375,837.3878784179688,3299.39404296875,1016.4488525390625,22332.650390625
2024-03-12,852.5047607421875,200.53501892089844,1525.1864013671875,807.5270385742188,3197.71435546875,993.052001953125,22335.69921875
2024-03-13,784.7011108398438,186.83872985839844,1349.97509765625,721.3992309570312,2974.53857421875,914.6932983398438,21997.69921875
2024-03-14,818.2081909179688,191.69869995117188,1367.0494384765625,793.9539184570312,3098.2861328125,931.6196899414062,22146.650390625
2024-03-15,829.9776000976562,185.41510009765625,1382.841064453125,878.9957885742188,3032.864501953125,943.3551025390625,22023.349609375
2024-03-18,827.5348510742188,186.4459991455078,1418.89013671875,864.2380981445312,3055.226318359375,909.7235107421875,22055.69921875
2024-03-19,801.2324829101562,182.02784729003906,1372.0338134765625,869.8646850585938,2993.52392578125,919.0232543945312,21817.44921875
2024-03-20,799.2093505859375,184.04055786132812,1416.274658203125,866.9526977539062,2916.799560546875,905.2213134765625,21839.099609375
2024-03-21,820.1080932617188,193.26962280273438,1486.5712890625,884.3262329101562,3054.63916015625,924.263671875,22011.94921875
2024-03-22,832.0255737304688,194.5997772216797,1525.3841552734375,890.8413696289062,3103.032470703125,934.1290893554688,22096.75
2024-03-26,853.417724609375,196.47186279296875,1535.05615234375,881.759765625,3230.254150390625,925.7643432617188,22004.69921875
2024-03-27,866.0507202148438,196.52113342285156,1574.14013671875,861.227294921875,3210.92578125,930.8324584960938,22123.650390625
2024-03-28,864.5208740234375,198.54103088378906,1571.1053466796875,860.5856323242188,3255.89404296875,917.227294921875,22326.900390625
2024-04-01,875.3773193359375,208.0000762939453,1597.01318359375,955.84423828125,3330.6123046875,984.4903564453125,22462.0
2024-04-02,866.6983032226562,217.7546844482422,1610.559326171875,972.3788452148438,3467.27734375,981.9071044921875,22453.30078125
2024-04-03,871.732177734375,218.2473602294922,1606.6856689453125,1060.8262939453125,3512.588134765625,1100.5645751953125,22434.650390625
